title,total_gross,gross,return_rate,std_IMDB,std_Meta,rating,distributor,release_date,release_month,release_year,genre,mins,MPAA_rating,budget (millions),theatres,totalweek,IMDB_rating,director,stars,Metascore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,"71,985,628",67794350.74 ,2.87942512,0.575224156,0.384581329,0.959805485,MGM (WEINSTEIN),2007/6/22,6,2007,Horror,94,PG-13,25,2678,16,6.8,Mikael H??fstr??m,"John Cusack,Samuel L. Jackson,Mary McCormack",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17AGAIN,"64,167,069",58389200.22 ,#VALUE!,0.197856471,-0.57117098,-0.373314508,WARNER BROS. (NEW LINE),2009/4/17,4,2009,Fantasy Comedy,102,PG-13,N/A,3255,16,6.4,Burr Steers,"Zac Efron,Matthew Perry,Leslie Mann",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17GIRLS,"15,123","12,858",#VALUE!,#VALUE!,0.205377771,#VALUE!,STRAND,2012/9/21,9,2012,Foreign,86,Unrated,N/A,10,5,NA,NA,NA,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180SOUTH,"31,745","28,420",#VALUE!,#VALUE!,#VALUE!,#VALUE!,MAGNOLIA,2010/5/21,5,2010,Documentary,85,PG,N/A,4,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,"135,739","117,801",#VALUE!,#VALUE!,-1.228250692,#VALUE!,VARIANCE FILMS,2011/10/7,10,2011,Foreign,#VALUE!,R,N/A,33,5,NA,NA,NA,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,000DAYSONEARTH","279,558","230,516",#VALUE!,#VALUE!,1.519537196,#VALUE!,DRAFTHOUSE,2014/9/17,9,2014,Documentary,97,Unrated,N/A,1,18,NA,NA,NA,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007ACADEMYAWARDNOMINATEDSHORTFILMS,"508,695","461,316",#VALUE!,#VALUE!,#VALUE!,#VALUE!,MAGNOLIA,2008/2/15,2,2008,Unknown,90,Unrated,N/A,65,7,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009OSCARSHORTS,"644,635","586,589",#VALUE!,#VALUE!,#VALUE!,#VALUE!,SHORTS INTERNATIONAL,2009/2/6,2,2009,Unknown,#VALUE!,Unrated,N/A,41,6,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010OSCARSHORTS,"1,018,169","911,540",#VALUE!,#VALUE!,#VALUE!,#VALUE!,SHORTS INTERNATIONAL,2010/2/19,2,2010,Unknown,#VALUE!,Unrated,N/A,95,10,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011OSCARSHORTS,"1,352,152","1,173,464",#VALUE!,#VALUE!,#VALUE!,#VALUE!,SHORTS INTERNATIONAL,2011/2/11,2,2011,Unknown,#VALUE!,Unrated,N/A,95,9,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"166,112,167",151154739.17 ,0.830560835,-0.368195056,-0.51143646,-0.879631516,SONY / COLUMBIA,2009/11/13,11,2009,Action Drama,158,PG-13,200,3404,14,5.8,Roland Emmerich,"John Cusack,Thandie Newton,Chiwetel Ejiofor",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
